Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Country/Region,City,State/Province,Postal Code,Division,Region,Product ID,Product Name,Origin Factory,Sales,Units,Gross Profit,Cost
1,ORD-2023-10001,2023-04-25,2023-05-01,Second Class,CUST-792,United States,City_48,State_18,21395,Candy,Central,PROD-002,Gummy Bears,Lot's O' Nuts,253.18,81,155.98,97.2
2,ORD-2023-10002,2023-02-17,2023-02-26,Standard Class,CUST-716,United States,City_2,State_18,36062,Nuts,East,PROD-010,Pistachios,Secret Factory,1006.78,121,462.28,544.5
3,ORD-2023-10003,2023-10-29,2023-11-01,Same Day,CUST-106,United States,City_49,State_6,65392,Chocolate,West,PROD-009,Caramel Squares,Secret Factory,1155.14,152,729.54,425.6
4,ORD-2023-10004,2023-06-22,2023-06-28,Second Class,CUST-199,United States,City_23,State_12,89131,Chocolate,West,PROD-006,Dark Chocolate Truffles,Sugar Shack,508.13,62,198.13,310.0
5,ORD-2023-10005,2023-07-13,2023-07-22,Standard Class,CUST-949,United States,City_41,State_20,57400,Candy,South,PROD-005,Jelly Beans,Lot's O' Nuts,174.6,50,99.6,75.0
6,ORD-2023-10006,2023-12-05,2023-12-11,Standard Class,CUST-181,United States,City_15,State_4,59823,Nuts,East,PROD-010,Pistachios,Wicked Choccy's,1507.99,126,940.99,567.0
7,ORD-2023-10007,2023-07-09,2023-07-15,Second Class,CUST-373,United States,City_45,State_3,89840,Candy,Central,PROD-005,Jelly Beans,Secret Factory,519.79,191,233.29,286.5
8,ORD-2023-10008,2023-08-25,2023-09-02,Second Class,CUST-755,United States,City_45,State_18,38785,Candy,West,PROD-003,Sour Worms,The Other Factory,505.19,204,239.99,265.2
9,ORD-2023-10009,2023-06-11,2023-06-17,Standard Class,CUST-316,United States,City_37,State_11,37869,Chocolate,West,PROD-006,Dark Chocolate Truffles,Lot's O' Nuts,2044.23,215,969.23,1075.0
10,ORD-2023-10010,2023-05-16,2023-05-19,Second Class,CUST-674,United States,City_35,State_9,86622,Candy,South,PROD-008,Lollipops,Secret Factory,75.73,81,35.23,40.5
11,ORD-2023-10011,2023-04-23,2023-04-25,First Class,CUST-193,United States,City_49,State_2,24371,Nuts,South,PROD-007,Cashew Clusters,The Other Factory,724.57,80,404.57,320.0
12,ORD-2023-10012,2023-07-17,2023-07-24,Standard Class,CUST-579,United States,City_34,State_9,82512,Candy,South,PROD-003,Sour Worms,Wicked Choccy's,637.96,205,371.46,266.5
13,ORD-2023-10013,2023-02-27,2023-03-03,First Class,CUST-564,United States,City_1,State_9,75612,Nuts,Central,PROD-001,Chocolate Almonds,Lot's O' Nuts,860.86,160,460.86,400.0
14,ORD-2023-10014,2023-11-24,2023-11-29,First Class,CUST-256,United States,City_24,State_6,80697,Candy,East,PROD-003,Sour Worms,The Other Factory,843.99,269,494.29,349.7
15,ORD-2023-10015,2023-01-10,2023-01-11,Same Day,CUST-999,United States,City_20,State_8,17592,Chocolate,Central,PROD-009,Caramel Squares,Lot's O' Nuts,542.85,67,355.25,187.6
