Origin Factory,Region,Product Name,Lead Time
The Other Factory,East,Caramel Squares,8.208333333333334
The Other Factory,East,Dark Chocolate Truffles,8.178571428571429
The Other Factory,East,Jelly Beans,8.076923076923077
The Other Factory,East,Cashew Clusters,7.774193548387097
The Other Factory,East,Sour Worms,7.733333333333333
The Other Factory,East,Chocolate Almonds,7.65
The Other Factory,East,Pistachios,7.44
The Other Factory,East,Lollipops,7.304347826086956
The Other Factory,East,Peanut Butter Cups,7.2727272727272725
Secret Factory,East,Pistachios,7.0
Lot's O' Nuts,South,Lollipops,7.0
The Other Factory,East,Gummy Bears,6.869565217391305
The Other Factory,West,Caramel Squares,6.793103448275862
Lot's O' Nuts,South,Dark Chocolate Truffles,6.791666666666667
The Other Factory,West,Pistachios,6.655172413793103
Lot's O' Nuts,South,Gummy Bears,6.642857142857143
Secret Factory,East,Lollipops,6.608695652173913
Lot's O' Nuts,South,Caramel Squares,6.56
The Other Factory,West,Jelly Beans,6.481481481481482
Secret Factory,East,Jelly Beans,6.407407407407407
Secret Factory,East,Cashew Clusters,6.315789473684211
Lot's O' Nuts,South,Chocolate Almonds,6.310344827586207
The Other Factory,West,Sour Worms,6.3
Secret Factory,East,Gummy Bears,6.269230769230769
Lot's O' Nuts,South,Pistachios,6.241379310344827
Lot's O' Nuts,South,Cashew Clusters,6.1875
The Other Factory,West,Lollipops,6.185185185185185
Secret Factory,East,Sour Worms,6.176470588235294
Secret Factory,East,Peanut Butter Cups,6.066666666666666
The Other Factory,West,Dark Chocolate Truffles,6.0
The Other Factory,West,Cashew Clusters,5.962962962962963
Secret Factory,East,Caramel Squares,5.923076923076923
The Other Factory,West,Chocolate Almonds,5.9
Secret Factory,East,Dark Chocolate Truffles,5.88
Lot's O' Nuts,South,Sour Worms,5.866666666666666
Lot's O' Nuts,South,Peanut Butter Cups,5.7407407407407405
The Other Factory,West,Peanut Butter Cups,5.7368421052631575
Sugar Shack,East,Gummy Bears,5.695652173913044
The Other Factory,Central,Sour Worms,5.608695652173913
Secret Factory,East,Chocolate Almonds,5.607142857142857
The Other Factory,West,Gummy Bears,5.590909090909091
Lot's O' Nuts,Central,Jelly Beans,5.521739130434782
Sugar Shack,East,Pistachios,5.52
The Other Factory,Central,Caramel Squares,5.476190476190476
Secret Factory,West,Cashew Clusters,5.461538461538462
Lot's O' Nuts,South,Jelly Beans,5.4
Secret Factory,West,Chocolate Almonds,5.357142857142857
Sugar Shack,East,Caramel Squares,5.352941176470588
Wicked Choccy's,South,Cashew Clusters,5.324324324324325
The Other Factory,Central,Gummy Bears,5.3
Secret Factory,West,Sour Worms,5.266666666666667
The Other Factory,Central,Lollipops,5.217391304347826
The Other Factory,Central,Peanut Butter Cups,5.173913043478261
Sugar Shack,East,Chocolate Almonds,5.136363636363637
Secret Factory,West,Dark Chocolate Truffles,5.115384615384615
Lot's O' Nuts,Central,Lollipops,5.076923076923077
Secret Factory,West,Lollipops,5.074074074074074
Wicked Choccy's,South,Pistachios,5.0
The Other Factory,Central,Pistachios,4.96
Secret Factory,West,Pistachios,4.947368421052632
Secret Factory,West,Caramel Squares,4.925925925925926
Sugar Shack,East,Jelly Beans,4.882352941176471
Sugar Shack,East,Cashew Clusters,4.863636363636363
Sugar Shack,East,Sour Worms,4.827586206896552
